	...1	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	type
1	Schil_g1165	107.0169764388	-2.1317785960674	0.406919382784331	-5.23882293706627	1.61603992525897e-07	5.98499327778222e-06	down
2	Schil_g1174	104.192737167886	-2.74118414901299	0.464151475282124	-5.90579648022626	3.50947014069273e-09	3.24026409418307e-07	down
3	Schil_g11918	129.972840025912	-2.43888725014396	0.486926928779047	-5.00873356143885	5.47893585299383e-07	1.55929043520942e-05	down
4	Schil_g11970	31.7231700866969	-2.42586465059967	0.541027905593582	-4.48380688966156	7.33230232933538e-06	0.0001172200868145	down
5	Schil_g12095	42.5465706434338	-2.41387143236919	0.523184514004275	-4.61380520209638	3.9536299495916e-06	7.25773497889316e-05	down
6	Schil_g12134	143.956082679414	-2.73078740322511	0.530717628204684	-5.1454620274492	2.66863180781205e-07	8.92807351560316e-06	down
7	Schil_g12481	538.219774548383	-2.42019833988143	0.52744744733723	-4.58851085942226	4.46419088676151e-06	7.96866236563393e-05	down
8	Schil_g12619	1624.95936916414	-2.41470186037492	0.496193442859803	-4.86645258038443	1.13619168693366e-06	2.71820640250617e-05	down
9	Schil_g12623	114.987766203398	-2.60574576226969	0.56249258521279	-4.63249797556698	3.61279869475623e-06	6.7787933031477e-05	down
10	Schil_g13324	19.5165629790078	-2.16524426001277	0.437189919942379	-4.95263994260927	7.32133681964121e-07	1.97174168503269e-05	down
11	Schil_g14382	20.4245874605217	-2.4737261939407	0.694359943004933	-3.56259922373305	0.00036720104916049	0.00262472153217878	down
12	Schil_g14494	32.9800613839812	-2.24065843426276	0.56917342822987	-3.9366884030957	8.26137648611401e-05	0.00079936946923825	down
13	Schil_g14637	29.738893558532	-2.50482440477972	0.52292622997269	-4.79001484570881	1.66768974253268e-06	3.69286598078843e-05	down
14	Schil_g15126	59.9652549732891	-2.3386508830253	0.559971748383675	-4.17637298627238	2.96194004853437e-05	0.00035256440072449	down
15	Schil_g15127	57.153363474724	-2.96708717026816	0.574136596445695	-5.16791158869943	2.36724235833938e-07	8.14465819110599e-06	down
16	Schil_g15865	102.208370642255	-4.0285476452764	0.596698282311245	-6.75139809297299	1.46427217784964e-11	5.91356778111562e-09	down
17	Schil_g15912	497.15264361146	-2.83120534853461	0.618745143254575	-4.57572132791634	4.74581930018157e-06	8.3159697282727e-05	down
